"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","source","type","score","phase","gene_type","gene_name","level","hgnc_id","havana_gene"
"ENSG00000230033.1",5.42192384068554,-3.47788834577697,0.517702302513722,-6.71793099796922,1.84322933736244e-11,7.6115426265329e-11,"HAVANA","gene",NA,NA,"lncRNA","AC006357.1","2",NA,"OTTHUMG00000157190.1"
"ENSG00000168634.5",4.38086635206478,-2.12495252539041,0.316327031333231,-6.71758122103672,1.84765784060501e-11,7.62917238157255e-11,"HAVANA","gene",NA,NA,"protein_coding","WFDC13","2","HGNC:16131","OTTHUMG00000046333.2"
"ENSG00000185294.7",3.5497855787842,-2.11660346512102,0.315182643718528,-6.71548229987955,1.87445180896284e-11,7.73514092742548e-11,"HAVANA","gene",NA,NA,"protein_coding","SPPL2C","2","HGNC:28902","OTTHUMG00000178247.2"
"ENSG00000251574.8",2.8612446034298,-2.44396579380833,0.364273162310835,-6.70915688189756,1.95752126569175e-11,8.06820748789504e-11,"HAVANA","gene",NA,NA,"lncRNA","AC099520.1","1",NA,"OTTHUMG00000163701.20"
"ENSG00000258203.5",5.61155663106352,-2.02993983090108,0.302641490141598,-6.70740759950438,1.98112324583158e-11,8.16004349479006e-11,"HAVANA","gene",NA,NA,"lncRNA","AC004801.5","2",NA,"OTTHUMG00000169893.1"
"ENSG00000182898.4",3.19273089922966,-3.78286225710075,0.564743597115457,-6.69837121912047,2.10755334796676e-11,8.66571240139784e-11,"HAVANA","gene",NA,NA,"protein_coding","TCHHL1","2","HGNC:31796","OTTHUMG00000013058.3"
"ENSG00000224887.1",5.15649547653507,-3.62936319064,0.541829330072798,-6.69835128739223,2.10784076544232e-11,8.66615043957277e-11,"HAVANA","gene",NA,NA,"processed_pseudogene","NFYCP2","1","HGNC:54924","OTTHUMG00000020145.1"
"ENSG00000214237.11",1.26376275708242,-2.40790969817742,0.359567791867086,-6.6966779356798,2.13210800876932e-11,8.76291453205267e-11,"HAVANA","gene",NA,NA,"protein_coding","MINDY4B","2","HGNC:35475","OTTHUMG00000159843.6"
"ENSG00000213231.13",1.82870585908136,-3.18837059303449,0.477537928272803,-6.67668556624695,2.44406545100941e-11,1.00055691496079e-10,"HAVANA","gene",NA,NA,"protein_coding","TCL1B","2","HGNC:11649","OTTHUMG00000028912.6"
"ENSG00000249199.2",2.59258326841483,-3.21167952174806,0.481172875688175,-6.67468945990505,2.47756220273426e-11,1.01383673670139e-10,"HAVANA","gene",NA,NA,"lncRNA","AC026785.3","2",NA,"OTTHUMG00000161875.2"
"ENSG00000187516.7",1.16638143765656,-2.48334143640977,0.372119358296766,-6.67350779001748,2.49760319066381e-11,1.02186309875921e-10,"HAVANA","gene",NA,NA,"protein_coding","H2AP","2","HGNC:18417","OTTHUMG00000033180.2"
"ENSG00000227195.11",2.66260371435927,-3.03372830563543,0.454890794960705,-6.66913540402041,2.57314771853923e-11,1.05178318569418e-10,"HAVANA","gene",NA,NA,"lncRNA","MIR663AHG","2","HGNC:27662","OTTHUMG00000032149.130"
"ENSG00000252947.1",4.82577397756976,-3.14049147529524,0.471207655266761,-6.66477176292339,2.65076972087125e-11,1.08314181089076e-10,"ENSEMBL","gene",NA,NA,"scaRNA","SCARNA1","3","HGNC:32555",NA
"ENSG00000214039.9",2.73256039963732,-2.50271936002556,0.375649273867124,-6.66238306349243,2.69422672615134e-11,1.0998670965398e-10,"HAVANA","gene",NA,NA,"lncRNA","LINC02418","2","HGNC:53348","OTTHUMG00000168373.3"
"ENSG00000207258.1",1.4800619981328,2.32723755746238,0.34932399601834,6.6621176443321,2.69909826534344e-11,1.10166806860286e-10,"ENSEMBL","gene",NA,NA,"misc_RNA","Y_RNA","3",NA,NA
"ENSG00000226592.1",0.548142179432923,3.13524172109979,0.470772760952146,6.65977724530772,2.74242914664529e-11,1.11897275094342e-10,"HAVANA","gene",NA,NA,"processed_pseudogene","AC004911.1","2",NA,"OTTHUMG00000152718.1"
"ENSG00000232715.1",1.3602554673053,-2.63063469281179,0.395608884305875,-6.6495844688307,2.93921629162843e-11,1.19732890512642e-10,"HAVANA","gene",NA,NA,"lncRNA","LINC01022","2","HGNC:48998","OTTHUMG00000152648.1"
"ENSG00000223523.1",7.2366251338464,-2.35071736338407,0.35364526373508,-6.64710545973837,2.98912868175091e-11,1.21714393288021e-10,"HAVANA","gene",NA,NA,"lncRNA","AC092598.1","2",NA,"OTTHUMG00000154523.1"
"ENSG00000259786.7",6.34581481481607,-3.57226668846771,0.537456821368699,-6.6466114977767,2.99917277299371e-11,1.22102623686377e-10,"HAVANA","gene",NA,NA,"lncRNA","LINC02109","2","HGNC:52964","OTTHUMG00000161936.13"
"ENSG00000230853.1",0.272427447527357,2.69727652989849,0.405899639683085,6.64518089250941,3.02844905943139e-11,1.23242159549272e-10,"HAVANA","gene",NA,NA,"processed_pseudogene","RPL10P11","1","HGNC:36565","OTTHUMG00000156444.1"
"ENSG00000168135.4",3.0484705636811,-2.48922345655716,0.374592824790857,-6.64514451911071,3.02919704873811e-11,1.23251660811077e-10,"HAVANA","gene",NA,NA,"protein_coding","KCNJ4","2","HGNC:6265","OTTHUMG00000151131.1"
"ENSG00000249145.3",0.338678197576639,2.5557349450904,0.384709790567859,6.64328022772165,3.06777777821907e-11,1.24768449367127e-10,"HAVANA","gene",NA,NA,"lncRNA","LINC02517","1","HGNC:53506","OTTHUMG00000160052.13"
"ENSG00000235643.2",1.47391609747962,-2.82269463029162,0.424961292821735,-6.64223937090595,3.08952665201223e-11,1.25595401570272e-10,"HAVANA","gene",NA,NA,"lncRNA","LINC01647","2","HGNC:52434","OTTHUMG00000002076.2"
"ENSG00000178394.5",1.44625947799428,-2.503492330854,0.376922443466199,-6.6419295912224,3.09602863875876e-11,1.25821301283342e-10,"HAVANA","gene",NA,NA,"protein_coding","HTR1A","2","HGNC:5286","OTTHUMG00000162279.3"
"ENSG00000230570.1",2.22617907605849,-2.81029800057019,0.423327950008472,-6.63858363359649,3.16711629930946e-11,1.28612088404743e-10,"HAVANA","gene",NA,NA,"processed_pseudogene","AL139095.3","1",NA,"OTTHUMG00000014206.1"
"ENSG00000230894.2",3.73330648348079,-2.34903761818955,0.353920514798978,-6.63718976427171,3.1971993468679e-11,1.29789714208135e-10,"HAVANA","gene",NA,NA,"lncRNA","AL133284.1","2",NA,"OTTHUMG00000020557.2"
"ENSG00000233539.5",4.70543105022476,-2.03196748285488,0.306156531157453,-6.63702151044384,3.20084953073439e-11,1.29926883857905e-10,"HAVANA","gene",NA,NA,"lncRNA","AC011294.1","2",NA,"OTTHUMG00000155474.1"
"ENSG00000242428.6",1.86850584680971,-2.94397527957069,0.443730443049042,-6.63460288940626,3.25377321421672e-11,1.32030384257748e-10,"HAVANA","gene",NA,NA,"lncRNA","CFAP20DC-AS1","2","HGNC:41063","OTTHUMG00000159203.2"
"ENSG00000253447.6",0.881703317036553,-2.31250370531446,0.348908419792597,-6.62782430612906,3.40670594811845e-11,1.38095678123661e-10,"HAVANA","gene",NA,NA,"lncRNA","AC113423.2","2",NA,"OTTHUMG00000163447.2"
"ENSG00000286868.1",6.50647539248272,-3.12339385029782,0.471538491729741,-6.62383645254557,3.49993991688524e-11,1.41779082960997e-10,"HAVANA","gene",NA,NA,"lncRNA","AC074290.1","2",NA,"OTTHUMG00000195833.1"
"ENSG00000286093.1",1.52111347505858,-2.21992832116972,0.335459041281625,-6.61758381198629,3.65117220411694e-11,1.47780400692103e-10,"HAVANA","gene",NA,NA,"lncRNA","AC022267.1","2",NA,"OTTHUMG00000193575.1"
"ENSG00000159527.3",5.07814626409723,-3.20723228517945,0.485047629652163,-6.61220071826642,3.78648102182317e-11,1.53166418233323e-10,"HAVANA","gene",NA,NA,"protein_coding","PGLYRP3","2","HGNC:30014","OTTHUMG00000014044.1"
"ENSG00000169548.3",5.23820890408017,-2.76171619528693,0.417782099675261,-6.61042250836883,3.83224681123219e-11,1.54952270002645e-10,"HAVANA","gene",NA,NA,"protein_coding","ZNF280A","2","HGNC:18597","OTTHUMG00000030545.4"
"ENSG00000205186.4",1.2949347795547,3.00550717674708,0.454885002527713,6.60718018850044,3.91709170534046e-11,1.58276008773603e-10,"HAVANA","gene",NA,NA,"protein_coding","FABP9","2","HGNC:3563","OTTHUMG00000164601.4"
"ENSG00000265933.5",31.4077076924498,-2.79126155286479,0.422504083902153,-6.60647236136827,3.93585708131541e-11,1.58994024254487e-10,"HAVANA","gene",NA,NA,"lncRNA","LINC00668","2","HGNC:44328","OTTHUMG00000178875.1"
"ENSG00000204019.5",67.9663875968155,-4.63386078558734,0.701579295727482,-6.60489956560419,3.97786929246873e-11,1.60623445261001e-10,"HAVANA","gene",NA,NA,"protein_coding","CT83","2","HGNC:33494","OTTHUMG00000022244.2"
"ENSG00000203565.3",1.44322239721096,-2.27329157515874,0.344261729212531,-6.6033816200212,4.01883232880361e-11,1.62222813103868e-10,"HAVANA","gene",NA,NA,"lncRNA","AL450313.1","2",NA,"OTTHUMG00000017940.2"
"ENSG00000273177.1",0.274821479716978,2.8878615304491,0.437401275914728,6.60231620131829,4.04782977275857e-11,1.63324511043341e-10,"HAVANA","gene",NA,NA,"lncRNA","AC092954.2","2",NA,"OTTHUMG00000186054.1"
"ENSG00000252081.1",0.338431712409292,2.57057497594339,0.389760517112846,6.59526776848754,4.24489015764271e-11,1.71102715339611e-10,"ENSEMBL","gene",NA,NA,"snRNA","RNU6-277P","3","HGNC:47240",NA
"ENSG00000214081.8",5.19975432127071,-3.01331452124311,0.456981193263245,-6.59395740057794,4.28254637532487e-11,1.72562486830794e-10,"HAVANA","gene",NA,NA,"transcribed_unprocessed_pseudogene","CYP4F30P","2","HGNC:25270","OTTHUMG00000154046.2"
"ENSG00000226812.2",1.79476993544265,-2.54773256569772,0.386487805794191,-6.59201280739609,4.33903153058952e-11,1.747797213978e-10,"HAVANA","gene",NA,NA,"lncRNA","AL117382.1","2",NA,"OTTHUMG00000032526.2"
"ENSG00000173237.4",13.8781536288036,-2.70885638474502,0.411796279832562,-6.57814681047254,4.76347785483163e-11,1.91490370888558e-10,"HAVANA","gene",NA,NA,"protein_coding","C11orf86","2","HGNC:34442","OTTHUMG00000153671.2"
"ENSG00000270174.1",3.94253937956144,-2.14780675206435,0.326572862610144,-6.5768071936472,4.80657382943134e-11,1.93206604721919e-10,"HAVANA","gene",NA,NA,"lncRNA","AL022097.1","2",NA,"OTTHUMG00000184023.1"
"ENSG00000274591.1",2.27203475175494,-2.07486816124403,0.315600728773072,-6.57434527895509,4.88677140582092e-11,1.96298497570957e-10,"HAVANA","gene",NA,NA,"lncRNA","AC025031.3","2",NA,"OTTHUMG00000187358.1"
"ENSG00000231496.2",0.423670059013669,2.57461397867709,0.39187024929623,6.57006747335607,5.02924671053612e-11,2.01936984496971e-10,"HAVANA","gene",NA,NA,"lncRNA","AL136369.2","2",NA,"OTTHUMG00000017662.2"
"ENSG00000232474.1",1.86889359835866,-2.16002220738482,0.328856039754146,-6.56829112519771,5.08959614279119e-11,2.04274567480209e-10,"HAVANA","gene",NA,NA,"lncRNA","NCKAP5-IT1","2","HGNC:41497","OTTHUMG00000153666.1"
"ENSG00000254460.1",0.555727903527806,2.06797314429817,0.315130857673602,6.56226800372587,5.29954544289039e-11,2.12398546234631e-10,"HAVANA","gene",NA,NA,"lncRNA","AP002815.1","1",NA,"OTTHUMG00000165485.1"
"ENSG00000268864.4",37.8380472962144,-2.12275331648717,0.323490315894165,-6.56203049114355,5.30799580013241e-11,2.12701638327487e-10,"HAVANA","gene",NA,NA,"transcribed_unprocessed_pseudogene","AC011487.2","1",NA,"OTTHUMG00000183076.2"
"ENSG00000219712.1",2.87914434683114,-2.78984512963561,0.42518421063094,-6.56149748716138,5.32700732676051e-11,2.13427764697354e-10,"HAVANA","gene",NA,NA,"processed_pseudogene","AL357054.1","1",NA,"OTTHUMG00000014116.1"
"ENSG00000233854.2",5.49558629628848,-3.00915814154877,0.45861361788409,-6.56142343838839,5.32965380997319e-11,2.1351594116215e-10,"HAVANA","gene",NA,NA,"lncRNA","POU6F2-AS2","2","HGNC:21887","OTTHUMG00000155276.2"
"ENSG00000224899.1",4.18428463766939,-2.44432423104019,0.372677509795475,-6.55881872877609,5.42356818219053e-11,2.17187522240679e-10,"HAVANA","gene",NA,NA,"lncRNA","LINC02830","2","HGNC:54363","OTTHUMG00000157196.1"
"ENSG00000274682.1",0.334057360721925,2.26616079446123,0.345549571893233,6.5581351527804,5.44848188969058e-11,2.18094049072668e-10,"HAVANA","gene",NA,NA,"lncRNA","AC015540.1","2",NA,"OTTHUMG00000187308.1"
"ENSG00000218048.2",1.75061784050239,-2.62569846801832,0.400461968454109,-6.55667372897912,5.50212124685391e-11,2.20167567808211e-10,"HAVANA","gene",NA,NA,"unprocessed_pseudogene","AL121949.1","1",NA,"OTTHUMG00000014945.2"
"ENSG00000249506.3",4.12713401268882,-2.2549743960332,0.34412990922806,-6.55268355224187,5.65121897624378e-11,2.25963863421665e-10,"HAVANA","gene",NA,NA,"transcribed_processed_pseudogene","ZEB2P1","2","HGNC:33346","OTTHUMG00000160179.3"
